id,user_id,username,event,details,ip,ts
29,4,hs3,login,success,192.168.92.144,2025-09-22T22:05:54+07:00
28,2,hs1,login_failed,disabled,192.168.92.144,2025-09-22T22:05:48+07:00
27,3,hs2,login,success,192.168.92.144,2025-09-22T22:05:41+07:00
26,3,hs2,login,success,192.168.92.144,2025-09-22T22:04:28+07:00
25,3,hs2,login,success,192.168.92.144,2025-09-22T21:42:22+07:00
24,2,hs1,login_failed,disabled,192.168.92.144,2025-09-22T21:42:17+07:00
23,3,hs2,login,success,192.168.92.144,2025-09-21T16:17:22+07:00
22,2,hs1,login_failed,disabled,192.168.92.144,2025-09-21T16:17:15+07:00
21,4,hs3,login,success,192.168.92.144,2025-09-18T10:36:57+07:00
20,3,hs2,login,success,192.168.92.144,2025-09-18T10:36:51+07:00
19,2,hs1,login_failed,disabled,192.168.92.144,2025-09-18T10:36:43+07:00
18,4,hs3,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino_2.bin;port=COM3;chip=esp8266;baud=115200;rc=0;stdout_len=1828;stderr_len=0,192.168.92.144,2025-09-18T10:09:24+07:00
17,4,hs3,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp8266 --port COM3 --baud 115200 write_flash 0x00000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino_2.bin,192.168.92.144,2025-09-18T10:09:04+07:00
16,4,hs3,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino_2.bin;firmware_id=5,192.168.92.144,2025-09-18T10:09:01+07:00
15,4,hs3,login,success,192.168.92.144,2025-09-18T10:08:56+07:00
14,4,hs3,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino_1.bin;port=COM3;chip=esp8266;baud=115200;rc=0;stdout_len=1828;stderr_len=0,192.168.92.144,2025-09-18T10:00:32+07:00
13,4,hs3,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp8266 --port COM3 --baud 115200 write_flash 0x00000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino_1.bin,192.168.92.144,2025-09-18T10:00:11+07:00
12,4,hs3,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino_1.bin;firmware_id=4,192.168.92.144,2025-09-18T10:00:10+07:00
11,4,hs3,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Serial_1.ino.bin;firmware_id=3,192.168.92.144,2025-09-18T09:55:18+07:00
10,4,hs3,login,success,192.168.92.144,2025-09-18T09:54:53+07:00
9,2,hs1,login,success,192.168.92.1,2025-09-18T00:12:58+07:00
8,3,hs2,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Serial_2.ino.elf;firmware_id=2,192.168.92.144,2025-09-18T00:07:58+07:00
7,3,hs2,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Serial_2.ino_3.bin;port=COM3;chip=esp8266;baud=115200;rc=0;stdout_len=1828;stderr_len=0,192.168.92.144,2025-09-17T23:59:55+07:00
6,3,hs2,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp8266 --port COM3 --baud 115200 write_flash 0x00000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Serial_2.ino_3.bin,192.168.92.144,2025-09-17T23:59:35+07:00
5,3,hs2,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Serial_2.ino_3.bin;firmware_id=1,192.168.92.144,2025-09-17T23:59:34+07:00
4,3,hs2,login,success,192.168.92.144,2025-09-17T23:59:28+07:00
3,3,hs2,login,success,192.168.92.144,2025-09-17T23:59:08+07:00
2,2,hs1,login,success,192.168.92.1,2025-09-17T23:58:52+07:00
1,2,hs1,login_failed,bad password,192.168.92.1,2025-09-17T23:58:50+07:00
